Area,Year,Month,Labor Force,Employed,Unemployed,Area Rate,Massachusetts Rate
Newton,2023,January,48101,46681,1420,3.0,4.1
Newton,2023,February,48038,46661,1377,2.9,4.2
Newton,2023,March,47871,46632,1239,2.6,3.9
Newton,2023,April,47871,46993,878,1.8,2.4
Newton,2023,May,47424,46522,902,1.9,2.3
Newton,2023,June,48192,46973,1219,2.5,2.8
Newton,2023,July,48240,47066,1174,2.4,2.9
Newton,2023,August,48273,47071,1202,2.5,2.9
Newton,2023,September,47707,46635,1072,2.2,2.5
Newton,2023,October,48158,47026,1132,2.4,2.6
Newton,2022,January,47545,46145,1400,2.9,4.6
Newton,2022,February,47634,46449,1185,2.5,4.3
Newton,2022,March,47879,46702,1177,2.5,3.9
Newton,2022,April,47441,46329,1112,2.3,3.5
Newton,2022,May,47479,46188,1291,2.7,3.6
Newton,2022,June,48072,46548,1524,3.2,3.9
Newton,2022,July,48128,46657,1471,3.1,3.9
Newton,2022,August,48167,46679,1488,3.1,3.9
Newton,2022,September,47413,46052,1361,2.9,3.5
Newton,2022,October,47798,46455,1343,2.8,3.4
Newton,2022,November,47623,46409,1214,2.5,3.3
Newton,2022,December,47537,46363,1174,2.5,3.3
Newton,2022,Annual,47727,46415,1312,2.7,3.8
Newton,2021,January,46800,44251,2549,5.4,7.7
Newton,2021,February,46674,44524,2150,4.6,7.2
Newton,2021,March,46864,44874,1990,4.2,6.7
Newton,2021,April,46698,44929,1769,3.8,6.0
Newton,2021,May,46642,44902,1740,3.7,5.7
Newton,2021,June,47351,45317,2034,4.3,6.1
Newton,2021,July,47712,45633,2079,4.4,5.7
Newton,2021,August,47601,45827,1774,3.7,5.2
Newton,2021,September,46959,45355,1604,3.4,4.7
Newton,2021,October,47477,45910,1567,3.3,4.2
Newton,2021,November,47743,46399,1344,2.8,3.8
Newton,2021,December,47493,46276,1217,2.6,3.6
Newton,2021,Annual,47168,45350,1818,3.9,5.5
Newton,2020,January,48597,47508,1089,2.2,3.4
Newton,2020,February,48736,47734,1002,2.1,3.1
Newton,2020,March,47881,46901,980,2.0,3.4
Newton,2020,April,41293,37580,3713,9.0,16.5
Newton,2020,May,43880,39845,4035,9.2,15.6
Newton,2020,June,45863,41670,4193,9.1,14.4
Newton,2020,July,46681,42543,4138,8.9,12.9
Newton,2020,August,46889,43670,3219,6.9,10.3
Newton,2020,September,46599,43412,3187,6.8,9.9
Newton,2020,October,47885,44364,3521,7.4,8.2
Newton,2020,November,47680,44458,3222,6.8,7.7
Newton,2020,December,47189,44433,2756,5.8,7.5
Newton,2020,Annual,46598,43677,2921,6.3,9.4
Wellesley,2023,January,13521,13058,463,3.4,4.1
Wellesley,2023,February,13491,13053,438,3.2,4.2
Wellesley,2023,March,13444,13045,399,3.0,3.9
Wellesley,2023,April,13428,13146,282,2.1,2.4
Wellesley,2023,May,13311,13014,297,2.2,2.3
Wellesley,2023,June,13546,13140,406,3.0,2.8
Wellesley,2023,July,13541,13166,375,2.8,2.9
Wellesley,2023,August,13575,13168,407,3.0,2.9
Wellesley,2023,September,13395,13045,350,2.6,2.5
Wellesley,2023,October,13507,13155,352,2.6,2.6
Wellesley,2022,January,13316,12908,408,3.1,4.6
Wellesley,2022,February,13341,12994,347,2.6,4.3
Wellesley,2022,March,13417,13064,353,2.6,3.9
Wellesley,2022,April,13314,12960,354,2.7,3.5
Wellesley,2022,May,13316,12920,396,3.0,3.6
