year_month,city,boosted_rate_0-4 Years,boosted_rate_12-15 Years,boosted_rate_16-19 Years,boosted_rate_20-29 Years,boosted_rate_30-49 Years,boosted_rate_5-11 Years,boosted_rate_50-64 Years,boosted_rate_65-74 Years,boosted_rate_75+ Years,fully_vac_rate_0-19 Years,fully_vac_rate_0-4 Years,fully_vac_rate_12-15 Years,fully_vac_rate_16-19 Years,fully_vac_rate_20-29 Years,fully_vac_rate_30-49 Years,fully_vac_rate_5-11 Years,fully_vac_rate_50-64 Years,fully_vac_rate_65-74 Years,fully_vac_rate_75+ Years,onedose_vac_rate_0-19 Years,onedose_vac_rate_0-4 Years,onedose_vac_rate_12-15 Years,onedose_vac_rate_16-19 Years,onedose_vac_rate_20-29 Years,onedose_vac_rate_30-49 Years,onedose_vac_rate_5-11 Years,onedose_vac_rate_50-64 Years,onedose_vac_rate_65-74 Years,onedose_vac_rate_75+ Years,onedose_vac_rate_Total_x,boosted_rate_AI/AN,boosted_rate_Asian,boosted_rate_Black,boosted_rate_Hispanic,boosted_rate_Multi,boosted_rate_NH/PI,boosted_rate_Other/Unknown,boosted_rate_White,fully_vac_rate_AI/AN,fully_vac_rate_Asian,fully_vac_rate_Black,fully_vac_rate_Hispanic,fully_vac_rate_Multi,fully_vac_rate_NH/PI,fully_vac_rate_Other/Unknown,fully_vac_rate_White,onedose_vac_rate_AI/AN,onedose_vac_rate_Asian,onedose_vac_rate_Black,onedose_vac_rate_Hispanic,onedose_vac_rate_Multi,onedose_vac_rate_Other/Unknown,onedose_vac_rate_Total_y,onedose_vac_rate_White,boosted_rate_Female,boosted_rate_Male,boosted_rate_Other,boosted_rate_Total,fully_vac_rate_Female,fully_vac_rate_Male,fully_vac_rate_Other,fully_vac_rate,onedose_vac_rate_Female,onedose_vac_rate_Male,onedose_vac_rate_Other,onedose_vac_rate_Total,Year,Month,Labor Force,Employed,Unemployed,city_rate,Massachusetts Rate
2021-05,Chelsea,,0.0,7.000000000000000,12.0,22.0,,39.0,60.0,61.0,4.0,,43.0,38.0,43.0,60.0,,77.0,87.0,83.0,9.0,,31.0,64.0,62.0,81.0,,94.0,97.0,93.0,65.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,90.0,29.000000000000000,36.0,47.0,,inf,65.0,57.00000000000000,99.0,39.0,49.0,62.0,inf,98.0,78.0,24.0,19.0,,21.0,53.0,44.0,inf,48.0,69.0,60.0,inf,65.0,2021,5,20376,18886,1490,7.3,5.7
2021-05,New Bedford,,0.0,3.0,5.0,12.0,,25.0,43.0,42.0,2.0,,14.000000000000000,15.0,20.0,33.0,,51.0,68.0,65.0,4.0,,8.0,24.0,30.0,45.0,,64.0,78.0,76.0,42.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,16.0,31.0,27.0,15.0,13.0,89.0,inf,34.0,23.0,42.0,38.0,24.0,16.0,inf,46.0,41.0,17.0,14.000000000000000,,23.0,34.0,29.000000000000000,inf,32.0,44.0,38.0,inf,42.0,2021,5,47649,43652,3997,8.4,5.7
2021-05,Newton,,1.0,21.0,27.0,56.00000000000000,,66.0,74.0,76.0,9.0,,77.0,42.0,53.0,82.0,,89.0,94.0,93.0,18.0,,64.0,57.00000000000000,66.0,96.0,,99.0,,,77.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,53.0,50.0,57.00000000000000,40.0,90.0,,inf,62.0,77.0,62.0,70.0,51.0,100.0,inf,77.0,73.0,46.0,42.0,inf,44.0,65.0,61.0,inf,63.0,77.0,74.0,inf,77.0,2021,5,46642,44902,1740,3.7,5.7
2021-05,Revere,,0.0,7.000000000000000,12.0,19.0,,29.000000000000000,47.0,42.0,4.0,,42.0,34.0,46.0,56.00000000000000,,62.0,73.0,62.0,10.0,,27.0,56.00000000000000,64.0,73.0,,74.0,81.0,71.0,60.0,16.0,25.0,11.0,13.0,64.0,,inf,25.0,67.0,51.0,31.0,35.0,79.0,,inf,48.0,65.0,64.0,40.0,47.0,97.0,inf,60.0,57.00000000000000,22.0,18.0,inf,20.0,50.0,44.0,inf,47.0,63.0,57.00000000000000,inf,60.0,2021,5,28627,26580,2047,7.2,5.7
2021-05,Wellesley,,0.0,20.0,23.0,53.0,,68.0,62.0,72.0,9.0,,77.0,39.0,43.0,75.0,,89.0,76.0,89.0,18.0,,55.00000000000000,55.00000000000000,57.00000000000000,87.0,,98.0,83.0,97.0,66.0,,25.0,19.0,18.0,93.0,,inf,41.0,,37.0,45.0,28.000000000000000,82.0,,inf,55.00000000000000,,48.0,61.0,36.0,,inf,97.0,66.0,38.0,39.0,,,53.0,55.00000000000000,inf,54.0,65.0,68.0,inf,66.0,2021,5,13097,12561,536,4.1,5.7
2021-06,Chelsea,,0.0,7.000000000000000,12.0,22.0,,39.0,60.0,61.0,,,43.0,65.0,60.0,78.0,,89.0,92.0,86.0,,,60.0,82.0,74.0,92.0,,100.0,100.0,96.0,74.0,9.0,50.0,13.0,14.000000000000000,49.0,,inf,40.0,51.0,97.0,37.0,50.0,65.0,,inf,75.0,57.00000000000000,100.0,45.0,57.00000000000000,71.0,inf,98.0,83.0,24.0,19.0,,21.0,67.0,59.0,inf,63.0,78.0,70.0,inf,74.0,2021,6,20680,19061,1619,7.8,6.1
2021-06,New Bedford,,0.0,3.0,5.0,12.0,,25.0,43.0,42.0,,,14.000000000000000,26.0,29.000000000000000,43.0,,60.0,72.0,70.0,,,21.0,33.0,36.0,51.0,,69.0,80.0,78.0,47.0,5.0,13.0,13.0,7.000000000000000,14.000000000000000,22.0,inf,18.0,21.0,43.0,36.0,24.0,17.0,89.0,inf,40.0,28.000000000000000,48.0,44.0,31.0,19.0,inf,46.0,44.0,17.0,14.000000000000000,,23.0,42.0,37.0,inf,40.0,49.0,44.0,inf,47.0,2021,6,48322,44076,4246,8.8,6.1
2021-06,Newton,,1.0,21.0,27.0,56.00000000000000,,66.0,74.0,76.0,,,77.0,53.0,62.0,92.0,,94.0,96.0,94.0,,,92.0,61.0,70.0,100.0,,100.0,,,80.0,23.0,35.0,31.0,24.0,87.0,,inf,46.0,67.0,62.0,69.0,50.0,93.0,,inf,70.0,81.0,67.0,76.0,56.00000000000000,,inf,80.0,75.0,46.0,42.0,inf,44.0,74.0,72.0,inf,73.0,81.0,79.0,inf,80.0,2021,6,47351,45317,2034,4.3,6.1
2021-06,Revere,,0.0,7.000000000000000,12.0,19.0,,29.000000000000000,47.0,42.0,,,42.0,57.00000000000000,63.0,72.0,,71.0,77.0,63.0,,,56.00000000000000,68.0,74.0,81.0,,79.0,83.0,72.0,67.0,16.0,25.0,11.0,13.0,64.0,,inf,25.0,67.0,63.0,40.0,48.0,99.0,,inf,55.00000000000000,71.0,69.0,46.0,55.00000000000000,97.0,inf,67.0,61.0,22.0,18.0,inf,20.0,61.0,56.00000000000000,inf,59.0,70.0,64.0,inf,67.0,2021,6,29085,26826,2259,7.8,6.1
2021-06,Wellesley,,0.0,20.0,23.0,53.0,,68.0,62.0,72.0,,,77.0,52.0,51.0,83.0,,94.0,77.0,91.0,,,93.0,60.0,60.0,89.0,,100.0,84.0,97.0,71.0,,25.0,19.0,18.0,93.0,,inf,41.0,,47.0,56.00000000000000,35.0,,,inf,64.0,,52.0,63.0,39.0,,inf,97.0,69.0,38.0,39.0,,,63.0,66.0,inf,64.0,68.0,73.0,inf,71.0,2021,6,13290,12677,613,4.6,6.1
